contador;sampleArray;i;return
0;469, 755, 244 ...;0;0
469;469, 755, 244 ...;1;-
469 ,755;469, 755, 244 ...;2;-
"469 ,755 ,244 ";469, 755, 244 ...;3;-
469 ,755 ,244 ,245;469, 755, 244 ...;4;-
469 ,755 ,244 ,245  ,758;469, 755, 244 ...;5;-
"469 ,755 ,244 ,245  ,758  ,450 ";469, 755, 244 ...;6;-
469 ,755...,302;469, 755, 244 ...;7;-
469 ,755...,17;469, 755, 244 ...;8;-
469 ,755...,712;469, 755, 244 ...;9;-
469 ,755...,71;469, 755, 244 ...;10;-
469 ,755...,456;469, 755, 244 ...;11;-
469 ,755...,21;469, 755, 244 ...;12;-
469 ,755...,398;469, 755, 244 ...;13;-
469 ,755...,339;469, 755, 244 ...;14;-
469 ,755...,882;469, 755, 244 ...;15;-
469 ,755...,848;469, 755, 244 ...;16;-
469 ,755...,179;469, 755, 244 ...;17;-
469 ,755...,535;469, 755, 244 ...;18;-
469 ,755...,940;469, 755, 244 ...;19;-
469 ,755...,472;-;-;469 ,755...,472
