"    let sampleArray";"contador ";i;return
"469, 755, 244 ...";"0";0;-
"469, 755, 244 ...";"469";1;-
"469, 755, 244 ...";"469, 755";2;-
"469, 755, 244 ...";"469, 755, 245";3;-
"469, 755, 244 ...";"469, 755, 245";4;-
"469, 755, 244 ...";"469, 755, 245, 71";5;-
"469, 755, 244 ...";"469, 755, 245, 71, 21";6;-
"469, 755, 244...";"469, 755, 245, 71, 21, 339";7;-
"469, 755, 244...";"469, 755, 245, 71, 21, 339, 179";8;-
"-";"469, 755, 245, 71, 21, 339, 179,  535";-;469, 755, 245, 71, 21, 339, 179,  535
;;;
;;;
;;;
;;;
;;;
;;;
