sampleArray;contador;i;return
469, 755, 244...;0;0;-
469, 755, 244...;219961;1;-
469, 755, 244...;219961,  570025;2;-
469, 755, 244...;219961... , 59536;3;-
469, 755, 244...;219961... ,60025;4;-
469, 755, 244...;219961... , 574564;5;-
469, 755, 244...;219961... ,  202500;6;-
469, 755, 244...;219961... , 91204;7;-
469, 755, 244...;219961... , 289;8;-
469, 755, 244...;219961... , 506944;9;-
469, 755, 244...;219961... , 5041;10;-
469, 755, 244...;219961... , 207936;11;-
469, 755, 244...;219961... , 441;12;-
469, 755, 244...;219961... , 158404;13;-
469, 755, 244...;219961... , 114921;14;-
469, 755, 244...;219961... , 777924;15;-
469, 755, 244...;219961... , 719104;16;-
469, 755, 244...;219961... , 32041;17;-
469, 755, 244...;219961... , 286225;18;-
469, 755, 244...;219961... , 883600;19;-
-;219961... , 222784;-;219961... , 222784
;;;
;;;
;;;
