sampleArray;resultado;i;return
469, 755...;469;0;-
469, 755...;469, 755;1;-
469, 755...;469, 755...;2;-
469, 755...;469, 755...;3;-
469, 755...;469, 755...;4;-
469, 755...;469, 755...;5;-
469, 755...;469, 755...;6;-
469, 755...;469, 755...;7;-
469, 755...;469, 755...;8;-
469, 755...;469, 755...;9;-
469, 755...;469, 755...;10;-
469, 755...;469, 755...;11;-
469, 755...;469, 755...;12;-
469, 755...;469, 755...;13;-
469, 755...;469, 755...;14;-
469, 755...;469, 755...;15;--
469, 755...;469, 755...;16;-
469, 755...;469, 755...;17;-
469, 755...;469, 755...;18;-
469, 755...;469, 755...;19;-
-;469, 755...;;940
